"COL 1","ifnull(`table 10`.`COL 2`,0)"
1663640823873346,0
1671581499787466,0
1672074636340713,0
1672657299684861,0
1674059159548763,0
1674454176132601,0
1674915399450443,0
1675290709384287,0
1676735995913754,0
1676875115925364,0
1676915749260470,0
1677183292562268,0
1679826392293685,0
1681070542134128,0
1682845048664831,0
1685358278408441,0
1688129911432931,0
1688706674476572,0
1689851897922869,0
1690029927938961,0
1697120027237233,0
1699200766970691,0
1701290100102757,0
170282136665490,0
1704107803160274,0
1714909575409594,0
1716822128537060,0
1722968957916291,0
1723061877832705,0
1723107624569007,0
1727582330794264,0
176973995990763,0
1813434012216872,0
182351312117171,0
1937929689766304,0
1939704166255113,0
1963918523833472,0
199675850396809,0
412013595675020,0
414822888717086,0
439222439600877,1
441656316024079,0
444416815753429,0
446747882183861,0
448842641987796,0
452865794917465,0
458713094313693,0
465361913636980,1
466784830195653,0
471337969726909,1
473181872853195,0
475257982682852,0
478311999022169,0
479959658795658,0
502397696551845,0
508818229319703,1
510392669138949,0
517622235072231,1
518395701676743,1
521601031350031,0
528494537305851,0
531788506969795,1
532246626928125,0
537023763114196,0
543259275831080,1
543714035783502,0
544142792427051,0
546567995520082,0
547312905418320,0
548047522019726,0
548670535282798,1
548749755272616,0
555086667971965,0
557220174428650,1
557603994389167,0
559805714176011,0
560251737461422,0
564023837087505,0
564769703681103,0
565782756913206,0
566856163479460,0
567777383375588,0
568428023304717,0
568462486644688,0
569052743245255,0
572073709614077,1
573389289475123,0
573431646144239,0
582698211885280,1
586179998195757,0
592599244223525,0
593832244105245,0
599176876897110,0
599685556837609,0
603412539796590,0
603564813118270,0
607387019402217,0
607818886039547,0
609145349223534,0
611704378967775,0
614178708720376,1
614751121998320,0
617093488448018,0
618625811622487,0
618761701595758,0
623334564472036,0
623600634448100,0
627711874033354,0
629516420522309,0
643244402446029,0
644372212372104,0
645204315621454,0
654333111375509,0
657882231020223,0
660115024128675,0
660938854047713,0
666900843446811,0
673246706149819,0
676669472476022,0
691899867614283,0
694663087337325,0
699174593552954,0
699970496800672,0
702736936527967,0
714182255384944,0
719347034833641,1
723256197775817,0
724797697650996,0
726043667537580,0
726462887497944,1
730540317082309,0
730755527025068,0
730761747028566,0
731073113660516,0
732340533536818,0
733982263405951,0
734082633360471,0
734986669936703,1
735509633217888,0
737336609701245,0
738480626286638,0
740949612705459,0
744886405644189,0
745879218880407,0
746189708820204,0
746975132103187,0
747384758730384,1
747492982047258,0
747859042015015,0
749103478522728,1
749601835183558,0
749848161814836,0
751713948268169,0
752552234878805,0
754566838003507,0
754714024628580,1
755190881279089,1
756385041133141,0
756939767783284,0
757750461024044,0
757882940983174,0
758386114306797,0
758760494228794,0
761615987277434,0
761705283958912,0
764606230315968,1
765063030294225,0
765581483553543,1
766105983495803,0
766930853452941,0
768578286603102,0
769803453131772,0
770771456378816,1
771836412921741,0
772370786200277,0
772559059556755,0
773746709436358,0
773877956052256,0
774446616015996,0
774782712666752,0
776288009161197,1
776982459113765,0
780446192082844,1
780651188735402,0
781773938593545,0
781835738627946,0
784124621698697,0
785802634875754,1
785972951508292,0
786132894831885,1
786731508138922,0
787559021348865,1
788573287956201,0
788648617925197,0
789882514454994,0
790169137760486,0
790968584383170,0
791506744329170,0
792762360870589,0
792795384199390,0
793117664149367,0
797049080401198,0
798108576999453,0
800245810101052,0
801698576605990,0
801705633274593,0
801945489931369,0
802724756539657,0
807537139392076,0
807630086026374,1
808002742643934,1
808202635955957,0
809921915782836,0
810189422440539,0
811779542266945,0
813752982066379,0
815585891884411,0
816907821740081,0
818777808248037,0
819207688201508,0
821340804678977,1
822720377851399,0
823894327723742,1
824325207693188,0
830007547097500,1
830788683713793,0
838866419555891,0
842860065813232,0
847507712014349,0
848306845285974,0
850525091731755,0
851614524907755,0
853664661397527,0
854739574625453,0
856605161150338,0
858173810957394,0
859438554177066,1
860155167416404,1
864151540349784,0
865303163569055,1
867130946716553,0
867422486690216,0
867456320019059,0
867503506697262,0
870028013094369,0
873849739360156,1
876447782446779,0
876456245773259,0
876804932446381,0
877408215660308,0
877502969023301,0
877784075650870,1
878851478871923,0
879700042128940,0
880976538667952,1
881574931927522,0
882474001841835,0
885749294866206,0
886124671482896,0
886319241452770,0
886406638121374,0
886944574736775,0
887367894710747,0
887534828027332,0
887664884665637,1
887729891274563,1
889140797800334,0
889409991135975,0
889522507811177,0
890393404406500,0
890956647645143,0
892044640873559,0
892266077531463,0
892895597455914,0
893154140773486,0
893539857409652,0
894173150665021,0
894349843994780,0
894464787319049,0
894605913927793,1
894912247272485,0
895183800579444,1
895917310500134,0
896325953791406,0
896469520388824,0
896675587087947,0
896849697101891,0
897124187023181,0
897893446932444,1
897945660253591,1
898045896957275,0
898443830205100,0
898693440207743,0
898889396846582,0
899828866791623,1
900654180031600,0
901027633300323,0
901185983297092,1
901286376607340,0
901495966585271,1
901877479888200,0
902304286524359,0
903096153119718,0
903129263096378,0
903239473090019,1
903570089727109,0
903592909727409,0
903623236399705,0
904443289632916,0
904809389604522,0
905120006261842,0
905934106165584,1
906240326162090,0
906343236110038,1
906387232779396,0
906693859421729,0
906770009405306,0
906810126076279,0
907059106030600,0
907116776043039,0
907690205973515,0
907799245978551,0
907929772609290,0
908118775936371,1
908121049277120,0
908169725884919,0
908249392599542,0
908546349237125,0
909052062515105,0
909122752516768,0
909304252478808,0
909404105810790,1
910453182364296,0
910932255670430,0
911111842315456,1
911143878976247,0
911177838973586,0
911255418955039,0
911277882288980,0
911603058935534,0
911814498909716,0
912247822194419,0
912304712214238,0
912720948804918,0
913141848771675,1
913176328718590,1
913237968762252,0
913549795394246,0
914212802000765,1
914226951998540,0
914279135315041,0
914348615317542,0
914710478613462,0
914809861950571,0
915174995240537,0
915214341907763,0
915283511889761,0
915336151885404,0
915425391899008,0
915499085198362,0
916089898476056,0
916192958467107,0
916334595128073,0
916595895102711,0
916751915072305,0
917233905017562,0
917309405022151,0
917718104950016,0
918006481622711,0
918055131607031,0
918066598287701,1
918297551596276,0
918303181578877,1
918648278225013,0
918655641553447,0
918674431549784,0
919043184838912,0
919095068158581,0
919333884787513,0
919904518099012,0
920161168075453,1
920330654720548,0
920499941319550,0
920771978018041,0
920969607951254,0
921069491314813,1
921202934665284,0
921291191291124,0
922150347869414,1
922158071206846,0
922193974526025,0
922240681200544,0
922368534483068,0
922387781188262,0
922543081157156,0
922931391130885,0
923692991041371,0
924426244309001,0
924808160943395,0
925383620871969,0
925590404157498,0
925880317467233,0
926059370816483,0
926120927469664,0
926430724073338,1
926996950711214,0
927045740712421,0
927215190703437,0
927461577347539,0
927499920675728,0
927500650621259,1
927719830648191,1
928105640615958,1
928194717249354,0
928304517263246,0
928412770569281,0
928607703886928,1
928869433872053,0
929288577156445,0
929713310444226,0
930011800439730,1
930536400359529,0
931094470305020,0
931164620302954,0
931223866961858,0
931319440239341,0
931551223584640,0
931696606917511,0
932390476856193,0
932536300158659,0
932701556807486,0
933221550104305,0
933416566740726,1
933433563410713,0
933438303409442,1
933611783397308,1
933613940053929,0
933962533350634,0
934238410004900,0
934668953281011,1
934740616612159,1
934788229962023,0
934993349917279,0
935151116570570,0
935173853224499,0
935398169886274,1
935556263191738,0
935643539852491,0
935696823151508,1
935854859824756,0
935913576500990,0
936161013142403,0
936647243089685,0
936829496397201,0
937157063000509,0
937235269701160,0
937243763021798,0
937398666353874,1
937841882972066,0
937929102962892,1
937957059621323,0
938523892907757,0
938720079550998,0
938844882860190,1
938950162852789,0
938975246178904,0
939396729485888,0
939516619452505,0
939556916121258,0
939592336120895,0
939689086116316,1
939710009454811,1
940107462730935,0
940344176035589,0
940659966019304,1
941090262650414,0
941131329308806,1
941151165966839,0
941195802633327,1
941226879289961,0
941619619254909,1
941773185913403,1
942029089225849,0
942068879212767,0
942387985849669,1
942441969125986,0
942590152495698,0
942616895793864,0
942700002431981,1
942730379145422,0
943005405755028,0
943143362442637,0
943286125751994,0
943447542410506,0
943620932374246,0
944160068996513,0
944457882311990,0
944596905606418,1
944604135628344,0
944827455614241,0
945160898883460,0
945226035566674,0
945681835521335,0
946073232138567,1
946134365477233,1
946181495473379,0
946270785457931,0
946443428771898,1
946487292098387,0
946631515419249,0
947324908683192,1
947699415310665,1
947803025309981,0
947862091959451,0
947920381965222,0
948106548588505,0
948573645202729,0
949117191835291,0
949256461816191,0
949588035131418,0
949725691783340,0
949824181739272,0
949867898418061,0
949990691737292,0
950967101650717,0
951061884943235,0
951119754972025,0
951363204957421,0
951752121567309,0
952251494851403,0
952369831509243,0
952558371496681,0
952757091460041,0
953179581439651,1
953318648096242,1
953822464688057,0
954141654671291,1
954326821270366,0
954696721265999,0
954899931268835,0
955031197911019,1
955361807884329,1
956167481139236,0
956234897803069,1
956629617745632,0
956878274399298,0
956972327718836,0
957028394317714,0
957226334351910,0
957342787686658,0
957430620979522,1
957479134346086,0
957492167651505,1
957849970976267,1
958356244231105,0
958377217590304,0
959441487467995,0
959710194099121,0
960351554045671,0
960443700702724,0
960614947353476,0
960846060657147,0
961020103972466,0
961066080638730,0
961079993979298,0
961128563959417,0
961502640597977,1
961725297240251,0
961867033903051,0
961978710546634,0
962093150532630,0
962278873864370,0
963504310389004,0
964112093678287,0
964517626966747,1
964547376957300,0
965919266764083,1
966311746762982,0
966612746745502,0
966823710059685,1
966943386697552,0
967904599955040,0
968232856603925,1
968493743186012,0
970812582981598,0
970820489651208,0
970986086270965,0
970991762966292,1
971171186302513,0
971464566258762,0
971482426231239,1
971778129574598,1
971780389574372,0
971899019551086,1
972089629548182,0
972215712847292,1
972574299492557,0
972893116138782,0
973165849425247,0
973424952696981,0
973700729356406,0
973860199327269,1
973990772621624,0
975594029160069,0
975699722490430,0
975872909133739,0
976161889132065,0
976459762428521,0
977129032380628,1
977270282344738,0
977409618983128,0
977984055594711,1
978476905508986,0
978498185505939,0
979769758763344,0
979815315424609,0
980657618624266,0
980801235276664,0
981328545257218,1
982389178449892,0
982644895092051,0
982801375115675,0
982984628425865,0
983518241719826,0
983966288336228,0
984823501578136,0
984897514923970,0
985047818226248,1
985195588170537,0
986956514704919,1
987072774720383,0
987656631271578,0
987880924584353,1
988023124607496,0
988250514565723,0
988532634541955,0
988973521159695,0
988989037842175,0
989116371158914,0
989155874480581,1
989870767734935,0
990401394380782,0
990597247678516,0
991928017536705,1
992327020828168,1
992351650811307,0
992409400803035,1
992961734076177,0
993329424081314,0
993858954009034,0
993895920676642,0
993978687332483,0
994093760611912,0
994145720607829,0
994318190639912,1
994833970537287,0
994958827192787,0
994961283907532,0
996220233753007,0
996255090445511,1
996290363725836,0
996868637000045,0
997158070340900,1
997582983634518,0
998041976929857,0
998101183609321,1
998356870239981,0
998548243501415,0
998704770201148,0
999283676804112,0
999883130033733,0
"COL 1",0
